OrderID,ProductID,Quantity,ListPrice,Discount,Revenue,Category,Price,CustomerID,Region,TotalPurchaseValue
1,20,1,599.99,0.2,479.992,3,599.99,1127,NY,12221.2092
1,8,2,1799.99,0.07,3347.9813999999997,6,1799.99,1127,NY,12221.2092
1,10,2,1549.0,0.05,2943.1,4,1549.0,1127,NY,12221.2092
1,16,2,599.99,0.05,1139.981,3,599.99,1127,NY,12221.2092
1,4,1,2899.99,0.2,2319.9919999999997,6,2899.99,1127,NY,12221.2092
2,20,1,599.99,0.07,557.9907,3,599.99,861,NY,3042.7637
2,16,2,599.99,0.05,1139.981,3,599.99,861,NY,3042.7637
3,3,1,999.99,0.05,949.9905,6,999.99,1295,NY,5109.5470000000005
3,20,1,599.99,0.05,569.9905,3,599.99,1295,NY,5109.5470000000005
4,2,2,749.99,0.1,1349.982,6,749.99,1131,NY,4604.972699999999
5,10,2,1549.0,0.05,2943.1,4,1549.0,1096,NY,4323.0517
5,17,1,429.0,0.07,398.96999999999997,3,429.0,1096,NY,4323.0517
5,26,1,599.99,0.07,557.9907,2,599.99,1096,NY,4323.0517
6,18,1,449.0,0.07,417.57,3,449.0,1045,CA,9442.504799999999
6,12,2,549.99,0.05,1044.981,3,549.99,1045,CA,9442.504799999999
6,20,1,599.99,0.1,539.991,3,599.99,1045,CA,9442.504799999999
6,3,2,999.99,0.07,1859.9814,6,999.99,1045,CA,9442.504799999999
6,9,2,2999.99,0.07,5579.9814,5,2999.99,1045,CA,9442.504799999999
7,15,1,529.99,0.07,492.8907,3,529.99,122,NY,2165.0816999999997
7,3,1,999.99,0.1,899.991,6,999.99,122,NY,2165.0816999999997
7,17,2,429.0,0.1,772.2,3,429.0,122,NY,2165.0816999999997
8,22,1,269.99,0.05,256.4905,1,269.99,467,NY,1372.4719
8,20,2,599.99,0.07,1115.9814,3,599.99,467,NY,1372.4719
9,7,2,3999.99,0.1,7199.982,6,3999.99,1239,NY,11471.0954
10,14,1,269.99,0.1,242.991,3,269.99,331,NY,242.991
11,8,1,1799.99,0.05,1709.9904999999999,6,1799.99,88,NY,3155.9565000000002
11,22,2,269.99,0.1,485.982,1,269.99,88,NY,3155.9565000000002
11,16,2,599.99,0.2,959.984,3,599.99,88,NY,3155.9565000000002
12,4,2,2899.99,0.1,5219.982,6,2899.99,1397,NY,25791.063199999997
12,11,1,1680.99,0.05,1596.9405,4,1680.99,1397,NY,25791.063199999997
13,13,1,269.99,0.1,242.991,3,269.99,1124,NY,3654.046
13,17,2,429.0,0.05,815.0999999999999,3,429.0,1124,NY,3654.046
13,20,2,599.99,0.1,1079.982,3,599.99,1124,NY,3654.046
13,16,2,599.99,0.05,1139.981,3,599.99,1124,NY,3654.046
14,6,1,469.99,0.07,437.09069999999997,6,469.99,872,TX,24330.1309
15,12,2,549.99,0.07,1022.9813999999999,3,549.99,131,NY,17539.1116
15,8,1,1799.99,0.07,1673.9906999999998,6,1799.99,131,NY,17539.1116
15,18,2,449.0,0.05,853.0999999999999,3,449.0,131,NY,17539.1116
15,23,2,299.99,0.2,479.98400000000004,1,299.99,131,NY,17539.1116
16,8,1,1799.99,0.2,1439.9920000000002,6,1799.99,1333,CA,6748.2083
16,21,1,269.99,0.05,256.4905,1,269.99,1333,CA,6748.2083
16,13,2,269.99,0.07,502.1814,3,269.99,1333,CA,6748.2083
16,14,1,269.99,0.07,251.0907,3,269.99,1333,CA,6748.2083
17,8,1,1799.99,0.07,1673.9906999999998,6,1799.99,770,NY,4092.8567
17,23,1,299.99,0.1,269.99100000000004,1,299.99,770,NY,4092.8567
17,5,1,1320.99,0.1,1188.891,6,1320.99,770,NY,4092.8567
17,20,2,599.99,0.2,959.984,3,599.99,770,NY,4092.8567
18,2,2,749.99,0.2,1199.9840000000002,6,749.99,344,CA,11406.4285
18,22,1,269.99,0.05,256.4905,1,269.99,344,CA,11406.4285
18,7,1,3999.99,0.1,3599.991,6,3999.99,344,CA,11406.4285
18,25,2,499.99,0.05,949.981,2,499.99,344,CA,11406.4285
18,9,2,2999.99,0.1,5399.982,5,2999.99,344,CA,11406.4285
19,10,1,1549.0,0.07,1440.57,4,1549.0,1438,CA,6240.553999999999
19,9,2,2999.99,0.2,4799.9839999999995,5,2999.99,1438,CA,6240.553999999999
20,9,1,2999.99,0.07,2789.9907,5,2999.99,806,NY,15043.981099999999
20,10,2,1549.0,0.07,2881.14,4,1549.0,806,NY,15043.981099999999
21,14,1,269.99,0.05,256.4905,3,269.99,386,CA,8989.132899999999
21,17,1,429.0,0.1,386.1,3,429.0,386,CA,8989.132899999999
21,10,1,1549.0,0.07,1440.57,4,1549.0,386,CA,8989.132899999999
22,15,2,529.99,0.2,847.984,3,529.99,1216,CA,12277.2015
22,22,1,269.99,0.05,256.4905,1,269.99,1216,CA,12277.2015
23,4,2,2899.99,0.05,5509.981,6,2899.99,956,NY,10243.0097
23,23,2,299.99,0.1,539.9820000000001,1,299.99,956,NY,10243.0097
23,13,1,269.99,0.2,215.99200000000002,3,269.99,956,NY,10243.0097
24,3,2,999.99,0.1,1799.982,6,999.99,277,NY,13755.4474
24,18,2,449.0,0.07,835.14,3,449.0,277,NY,13755.4474
25,23,2,299.99,0.2,479.98400000000004,1,299.99,1185,NY,8517.2615
25,10,2,1549.0,0.2,2478.4,4,1549.0,1185,NY,8517.2615
25,22,1,269.99,0.2,215.99200000000002,1,269.99,1185,NY,8517.2615
25,14,1,269.99,0.2,215.99200000000002,3,269.99,1185,NY,8517.2615
25,21,1,269.99,0.1,242.991,1,269.99,1185,NY,8517.2615
26,7,1,3999.99,0.05,3799.9904999999994,6,3999.99,460,NY,9807.1179
26,2,1,749.99,0.2,599.9920000000001,6,749.99,460,NY,9807.1179
26,12,1,549.99,0.2,439.992,3,549.99,460,NY,9807.1179
26,21,2,269.99,0.07,502.1814,1,269.99,460,NY,9807.1179
27,5,1,1320.99,0.2,1056.7920000000001,6,1320.99,1338,NY,4205.9641
27,19,1,449.0,0.2,359.20000000000005,3,449.0,1338,NY,4205.9641
27,26,2,599.99,0.07,1115.9814,2,599.99,1338,NY,4205.9641
27,8,1,1799.99,0.07,1673.9906999999998,6,1799.99,1338,NY,4205.9641
28,5,1,1320.99,0.05,1254.9405,6,1320.99,22,NY,8587.397
28,7,2,3999.99,0.2,6399.984,6,3999.99,22,NY,8587.397
28,14,2,269.99,0.1,485.982,3,269.99,22,NY,8587.397
28,6,1,469.99,0.05,446.4905,6,469.99,22,NY,8587.397
29,24,2,549.99,0.05,1044.981,2,549.99,253,CA,6240.8904
29,6,1,469.99,0.2,375.992,6,469.99,253,CA,6240.8904
29,21,2,269.99,0.1,485.982,1,269.99,253,CA,6240.8904
29,8,1,1799.99,0.2,1439.9920000000002,6,1799.99,253,CA,6240.8904
29,14,2,269.99,0.05,512.981,3,269.99,253,CA,6240.8904
30,26,1,599.99,0.05,569.9905,2,599.99,748,NY,26146.9425
30,17,1,429.0,0.07,398.96999999999997,3,429.0,748,NY,26146.9425
30,19,1,449.0,0.1,404.1,3,449.0,748,NY,26146.9425
30,4,1,2899.99,0.1,2609.991,6,2899.99,748,NY,26146.9425
30,7,2,3999.99,0.1,7199.982,6,3999.99,748,NY,26146.9425
31,11,2,1680.99,0.05,3193.881,4,1680.99,857,NY,7993.865
31,9,2,2999.99,0.2,4799.9839999999995,5,2999.99,857,NY,7993.865
32,8,2,1799.99,0.07,3347.9813999999997,6,1799.99,475,TX,12362.8815
32,12,2,549.99,0.07,1022.9813999999999,3,549.99,475,TX,12362.8815
32,25,2,499.99,0.1,899.9820000000001,2,499.99,475,TX,12362.8815
33,23,2,299.99,0.07,557.9814,1,299.99,1083,NY,4157.9724
33,7,1,3999.99,0.1,3599.991,6,3999.99,1083,NY,4157.9724
34,8,2,1799.99,0.07,3347.9813999999997,6,1799.99,511,TX,21970.496199999998
34,10,2,1549.0,0.1,2788.2000000000003,4,1549.0,511,TX,21970.496199999998
34,17,2,429.0,0.2,686.4000000000001,3,429.0,511,TX,21970.496199999998
35,18,1,449.0,0.05,426.54999999999995,3,449.0,700,TX,6550.2308
35,20,2,599.99,0.05,1139.981,3,599.99,700,TX,6550.2308
35,5,1,1320.99,0.2,1056.7920000000001,6,1320.99,700,TX,6550.2308
35,21,2,269.99,0.07,502.1814,1,269.99,700,TX,6550.2308
35,22,1,269.99,0.07,251.0907,1,269.99,700,TX,6550.2308
36,9,1,2999.99,0.07,2789.9907,5,2999.99,976,NY,13304.2533
36,5,1,1320.99,0.05,1254.9405,6,1320.99,976,NY,13304.2533
36,3,2,999.99,0.2,1599.9840000000002,6,999.99,976,NY,13304.2533
37,16,2,599.99,0.05,1139.981,3,599.99,190,NY,7984.608200000001
38,7,2,3999.99,0.05,7599.980999999999,6,3999.99,958,TX,27131.0681
38,23,1,299.99,0.07,278.9907,1,299.99,958,TX,27131.0681
38,25,1,499.99,0.2,399.992,2,499.99,958,TX,27131.0681
38,10,2,1549.0,0.1,2788.2000000000003,4,1549.0,958,TX,27131.0681
38,24,1,549.99,0.07,511.49069999999995,2,549.99,958,TX,27131.0681
39,22,2,269.99,0.2,431.98400000000004,1,269.99,687,TX,3768.94
39,16,2,599.99,0.2,959.984,3,599.99,687,TX,3768.94
39,3,2,999.99,0.05,1899.981,6,999.99,687,TX,3768.94
39,15,1,529.99,0.1,476.99100000000004,3,529.99,687,TX,3768.94
40,17,1,429.0,0.2,343.20000000000005,3,429.0,958,TX,27131.0681
40,8,2,1799.99,0.2,2879.9840000000004,6,1799.99,958,TX,27131.0681
41,5,1,1320.99,0.1,1188.891,6,1320.99,563,NY,5554.4184000000005
41,19,2,449.0,0.2,718.4000000000001,3,449.0,563,NY,5554.4184000000005
41,26,2,599.99,0.2,959.984,2,599.99,563,NY,5554.4184000000005
42,19,1,449.0,0.05,426.54999999999995,3,449.0,1268,NY,5871.505999999999
43,13,2,269.99,0.1,485.982,3,269.99,832,NY,1530.963
43,12,2,549.99,0.05,1044.981,3,549.99,832,NY,1530.963
44,7,1,3999.99,0.1,3599.991,6,3999.99,1155,NY,5446.9565
44,16,1,599.99,0.05,569.9905,3,599.99,1155,NY,5446.9565
45,4,2,2899.99,0.2,4639.9839999999995,6,2899.99,647,NY,5404.055699999999
45,22,1,269.99,0.07,251.0907,1,269.99,647,NY,5404.055699999999
45,21,2,269.99,0.05,512.981,1,269.99,647,NY,5404.055699999999
46,17,1,429.0,0.1,386.1,3,429.0,21,TX,386.1
47,6,1,469.99,0.05,446.4905,6,469.99,841,NY,2069.4549
47,15,1,529.99,0.1,476.99100000000004,3,529.99,841,NY,2069.4549
47,25,2,499.99,0.07,929.9814,2,499.99,841,NY,2069.4549
47,13,1,269.99,0.2,215.99200000000002,3,269.99,841,NY,2069.4549
48,11,1,1680.99,0.1,1512.891,4,1680.99,167,NY,13062.2099
48,4,1,2899.99,0.2,2319.9919999999997,6,2899.99,167,NY,13062.2099
48,5,2,1320.99,0.1,2377.782,6,1320.99,167,NY,13062.2099
48,14,2,269.99,0.07,502.1814,3,269.99,167,NY,13062.2099
49,13,2,269.99,0.07,502.1814,3,269.99,1298,NY,11117.466
50,3,1,999.99,0.05,949.9905,6,999.99,388,NY,2497.9559
50,26,2,599.99,0.07,1115.9814,2,599.99,388,NY,2497.9559
50,13,2,269.99,0.2,431.98400000000004,3,269.99,388,NY,2497.9559
51,13,1,269.99,0.05,256.4905,3,269.99,601,CA,4165.9285
51,20,1,599.99,0.05,569.9905,3,599.99,601,CA,4165.9285
51,26,2,599.99,0.2,959.984,2,599.99,601,CA,4165.9285
52,25,1,499.99,0.07,464.9907,2,499.99,316,TX,464.9907
53,8,2,1799.99,0.2,2879.9840000000004,6,1799.99,14,TX,4781.9310000000005
53,23,2,299.99,0.05,569.981,1,299.99,14,TX,4781.9310000000005
53,14,2,269.99,0.2,431.98400000000004,3,269.99,14,TX,4781.9310000000005
53,25,2,499.99,0.1,899.9820000000001,2,499.99,14,TX,4781.9310000000005
54,26,2,599.99,0.2,959.984,2,599.99,242,CA,1759.976
54,3,1,999.99,0.2,799.9920000000001,6,999.99,242,CA,1759.976
55,21,1,269.99,0.05,256.4905,1,269.99,777,NY,4202.216
55,25,2,499.99,0.2,799.984,2,499.99,777,NY,4202.216
55,15,2,529.99,0.2,847.984,3,529.99,777,NY,4202.216
56,20,2,599.99,0.07,1115.9814,3,599.99,1370,CA,10460.3316
57,23,2,299.99,0.1,539.9820000000001,1,299.99,565,TX,1509.4727000000003
57,19,2,449.0,0.2,718.4000000000001,3,449.0,565,TX,1509.4727000000003
57,13,1,269.99,0.07,251.0907,3,269.99,565,TX,1509.4727000000003
58,14,2,269.99,0.05,512.981,3,269.99,898,TX,3266.5247
58,18,1,449.0,0.07,417.57,3,449.0,898,TX,3266.5247
58,23,1,299.99,0.1,269.99100000000004,1,299.99,898,TX,3266.5247
59,21,1,269.99,0.05,256.4905,1,269.99,1364,NY,5836.673500000001
59,2,1,749.99,0.1,674.991,6,749.99,1364,NY,5836.673500000001
59,17,2,429.0,0.1,772.2,3,429.0,1364,NY,5836.673500000001
60,14,2,269.99,0.05,512.981,3,269.99,92,NY,3831.8547
60,4,1,2899.99,0.1,2609.991,6,2899.99,92,NY,3831.8547
